Rk,Player,Tm,Pos,Shift,GP,TOI,CF% Rel,GF/60,GA/60,TOI,CF% Rel,GF/60,GA/60,TOI,CF% Rel,GF/60,GA/60,-9999
104,Braden Schneider,NYR,D,0:47,82,17:39,-5.1,2.4,2.7,0:22,-11.2,5.9,0.0,2:25,-0.6,0.3,7.0,schnebr01
105,Bradly Nadeau,CAR,LW,0:38,12,11:33,-0.4,2.2,1.7,1:10,7.3,4.3,0.0,0:14,13.5,0.0,0.0,nadeabr01
106,Brady Martin,NSH,C,0:46,3,9:54,-10.0,4.0,4.0,1:31,7.4,0.0,0.0,0:00,,,,martibr02
107,Brady Skjei,NSH,D,0:56,82,18:37,-4.0,2.8,3.3,1:07,-0.9,5.9,0.0,2:51,-2.9,1.0,7.4,skjeibr01
108,Brady Tkachuk,OTT,LW,0:52,60,13:36,6.8,3.5,3.2,3:16,3.0,10.1,0.3,0:04,11.9,13.6,13.6,tkachbr01
109,Braeden Bowman,VEG,F,0:53,54,12:49,-2.4,2.9,4.2,1:17,-6.4,6.0,0.9,0:00,-10.7,0.0,0.0,bowmabr01
110,Braeden Cootes,VAN,C,0:26,3,9:38,-22.4,0.0,4.1,1:08,33.3,0.0,0.0,0:00,,,,cootebr01
111,Brandon Carlo,TOR,D,0:38,55,16:29,-2.2,3.2,3.1,0:01,12.2,0.0,0.0,2:51,3.9,1.1,6.9,carlobr01
112,Brandon Duhaime,WSH,RW,0:36,82,9:54,-5.1,1.5,1.7,0:03,-3.6,0.0,0.0,1:06,-6.1,0.7,10.6,duhaibr01
113,Brandon Hagel,TBL,LW,0:44,71,15:20,6.8,4.6,2.8,2:11,1.3,8.1,0.4,2:14,1.9,0.8,5.3,hagelbr01
114,Brandon Montour,SEA,D,0:53,64,20:15,2.9,2.1,3.1,1:54,-3.1,5.9,0.5,0:22,6.9,2.5,9.9,montobr01
115,Brandon Saad,VEG,LW,0:32,49,12:27,0.2,1.8,2.5,0:02,-39.7,0.0,0.0,0:53,-0.6,0.0,6.9,saadbr01
116,Brandon Tanev,UTA,LW,0:38,56,9:11,-6.7,1.0,2.8,0:00,,0.0,0.0,0:09,5.3,0.0,6.8,tanevbr01
117,Brandt Clarke,LAK,D,0:44,82,17:28,4.2,2.9,2.3,2:17,-7.2,6.7,1.0,0:01,36.4,0.0,0.0,clarkbr02
118,Brayden McNabb,VEG,D,0:41,63,18:01,-1.5,2.6,2.6,0:05,3.3,0.0,0.0,2:24,2.5,0.8,7.1,mcnabbr01
119,Brayden Pachal,CGY,D,0:39,39,13:07,0.4,2.3,2.6,0:00,,0.0,0.0,0:44,1.2,2.1,6.2,pachabr01
120,Brayden Point,TBL,C,0:49,63,14:26,1.0,4.2,3.1,3:47,4.5,7.8,1.3,0:01,89.4,0.0,0.0,pointbr01
121,Brayden Schenn,TOT,C,0:46,80,14:28,-3.6,3.2,4.1,2:11,4.3,8.2,1.0,0:05,,0.0,0.0,schenbr01
122,Brayden Yager,WPG,C,0:30,3,9:10,-0.3,2.2,2.2,0:00,,,,1:49,37.9,0.0,11.0,yagerbr01
123,Brendan Brisson,NYR,C,0:45,3,9:40,-1.2,2.1,4.1,0:55,28.6,0.0,0.0,0:00,,,,brissbr01
124,Brendan Gallagher,MTL,RW,0:36,77,10:59,1.9,2.6,2.5,1:21,-3.1,4.6,1.1,0:00,,0.0,0.0,gallabr01
125,Brendan Gaunce,CBJ,C,0:32,25,10:09,-1.6,2.1,2.8,0:03,11.6,0.0,0.0,1:41,6.9,2.8,8.5,gauncbr01
126,Brendan Smith,CBJ,D,0:45,15,10:24,-6.7,1.9,2.3,0:00,,,,0:40,3.6,0.0,6.0,smithbr05
127,Brenden Dillon,NJD,D,0:39,82,15:41,-2.7,2.3,3.1,0:01,-15.2,0.0,0.0,2:17,-8.3,1.0,8.3,dillobr01
128,Brennan Othmann,TOT,LW,0:40,19,9:42,-0.7,2.8,14.0,0:16,10.0,85.7,0.0,0:01,,,,othmabr01
129,Brent Burns,COL,D/RW,0:44,82,15:58,-1.5,3.8,2.2,0:40,-7.9,2.2,3.2,2:12,-0.3,0.3,5.0,burnsbr01
130,Brett Berard,NYR,LW,0:39,13,10:32,-4.6,0.9,1.3,0:00,,0.0,0.0,0:00,,,,berarbr02
131,Brett Howden,VEG,C,0:40,58,13:12,-3.4,2.4,3.1,0:38,-0.8,6.4,0.0,1:01,-2.7,0.0,6.0,howdebr01
132,Brett Kulak,TOT,D,0:42,83,17:29,-8.8,1.4,1.3,0:07,,0.0,0.0,1:20,5.9,0.0,2.9,kulakbr01
133,Brett Leason,WSH,RW,0:46,6,8:15,9.5,0.0,2.4,0:19,22.7,0.0,0.0,0:00,,,,leasobr01
134,Brett Pesce,NJD,D,0:45,37,17:42,-0.9,1.6,2.7,0:05,-23.0,0.0,0.0,2:30,-7.3,0.6,3.2,pescebr01
135,Brian Dumoulin,LAK,D,0:52,82,16:17,-1.3,1.8,2.0,0:06,5.9,0.0,0.0,1:20,7.1,2.2,4.4,dumoubr01
136,Brian Halonen,NJD,F,0:42,15,7:36,-9.0,1.6,2.1,0:00,,0.0,0.0,0:00,,,,halonbr01
137,Brock Boeser,VAN,RW,0:57,75,14:50,-2.4,2.1,4.5,3:17,1.0,9.7,1.0,0:54,-1.1,0.9,8.8,boesebr01
138,Brock Faber,MIN,D,0:39,80,21:12,2.8,3.4,2.9,1:04,-9.9,9.1,1.4,2:23,3.6,1.9,7.5,faberbr01
139,Brock Nelson,COL,C,0:51,81,14:31,0.8,3.8,2.7,3:16,-2.7,7.7,2.0,1:51,-2.0,0.4,4.0,nelsobr01
140,Bryan Rust,PIT,RW,0:47,72,14:59,-1.7,4.0,3.8,3:21,11.6,9.9,1.5,1:35,3.0,1.6,6.8,rustbr01
141,Cale Fleury,SEA,D,0:45,23,15:22,-0.8,2.2,2.0,0:14,2.3,10.9,0.0,0:40,5.1,0.0,7.7,fleurca01
142,Cale Makar,COL,D,0:53,75,18:43,-2.8,4.1,2.4,4:10,7.4,7.9,1.7,1:57,4.4,0.4,5.3,makarca01
143,Caleb Jones,PIT,D,0:42,7,15:29,-4.1,2.2,1.7,0:12,17.0,0.0,0.0,1:28,10.1,0.0,5.8,jonesca01
144,Calle Järnkrok,TOR,C,0:37,56,9:25,-4.6,1.5,3.4,0:14,1.0,0.0,0.0,2:11,-5.3,0.5,6.4,jarnkca01
145,Calum Ritchie,NYI,C,0:48,65,11:24,-2.5,1.9,2.8,2:03,0.7,6.7,0.9,0:00,,,,ritchca01
146,Cam Fowler,STL,D,0:49,82,18:18,1.2,2.6,3.0,1:36,4.8,6.4,0.9,1:10,1.1,0.6,4.4,fowleca01
147,Cameron Crotty,OTT,D,0:40,6,13:32,-4.0,3.0,3.0,0:00,,,,1:22,-0.7,0.0,0.0,crottca01
148,Cameron Hughes,DAL,C,0:53,3,7:19,-11.5,5.5,0.0,0:00,,,,0:00,,,,hugheca01
149,Cameron York,PHI,D,0:38,74,18:07,-2.6,2.9,2.8,1:39,-2.8,6.4,0.5,2:45,-1.1,1.2,9.1,yorkca01
150,Carl Grundström,PHI,RW,0:37,47,11:04,-3.5,2.4,1.8,0:01,,0.0,0.0,0:44,-0.5,3.4,10.3,grundca01
151,Carson Lambos,MIN,D,0:41,1,9:02,17.3,6.6,0.0,0:00,,,,1:14,0.0,0.0,0.0,lamboca01
152,Carson Soucy,TOT,D,0:46,76,14:59,-2.1,1.7,3.1,0:01,14.2,0.0,0.0,1:29,-10.7,0.0,11.6,soucyca01
153,Carter Mazur,DET,LW,0:45,8,10:37,-6.8,1.4,3.5,0:04,,0.0,0.0,0:00,,,,mazurca01
154,Carter Verhaeghe,FLA,C,0:34,77,14:52,4.8,3.3,3.9,2:40,0.4,7.3,0.9,0:03,34.1,0.0,0.0,verhaca01
155,Carter Yakemchuk,OTT,D,0:43,4,12:49,-0.7,2.3,3.5,1:42,17.4,17.6,0.0,0:00,,0.0,0.0,yakemca01
156,Casey Cizikas,NYI,C,0:42,81,10:16,-1.2,1.7,2.2,0:02,12.2,0.0,0.0,1:26,-0.1,1.5,3.6,cizikca01
157,Casey Mittelstadt,BOS,C,1:03,71,13:26,1.2,3.8,3.0,1:42,4.9,5.9,1.0,0:00,-11.6,0.0,0.0,mitteca01
158,Chandler Stephenson,SEA,C,0:44,80,14:52,-7.0,2.3,3.3,2:40,3.5,8.1,1.7,1:49,1.4,0.8,11.9,stephch02
159,Charle-Edouard D'Astous,TBL,D,0:34,70,17:21,-1.1,3.1,3.2,0:57,-3.8,1.8,0.9,0:26,1.7,0.0,7.9,dastoch01
160,Charles-Alexis Legault,CAR,D,0:40,12,13:17,1.4,2.6,0.8,0:00,,,,1:00,7.1,0.0,4.9,legauch01
161,Charlie Coyle,CBJ,C/RW,0:45,82,14:00,-0.6,3.2,3.0,2:01,-2.2,6.9,1.8,2:04,-2.4,1.1,10.9,coylech01
162,Charlie McAvoy,BOS,D,0:52,69,18:30,-0.1,3.9,3.1,3:04,-4.4,11.1,1.7,2:48,-0.9,0.3,8.7,mcavoch01
