Overall,Team,Player,Nat,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GPG,W,L,T/O,SV per,GAA,PS,upload
182,Los Angeles Kings,Ryan Conmy,US,RW,18,,Sioux City (USHL),,,,,,,,,,,,,,conmyry01
183,New York Rangers,Ty Henricks,US,LW,18,,Muskegon (USHL),,,,,,,,,,,,,,henrity01
184,Edmonton Oilers,Nathaniel Day,CA,G,18,,Flint Firebirds (OHL),,,,,,,,,,,,,,dayna01
185,Toronto Maple Leafs,Noah Chadwick,CA,D,18,,Lethbridge Hurricanes (WHL),,,,,,,,,,,,,,chadwno01
186,New Jersey Devils,Daniil Karpovich,BY,D,18,,Yekaterinburg Jr. (Russia-Jr.),,,,,,,,,,,,,,karpoda01
187,Colorado Avalanche,Jeremy Hanzel,CA,D,20,,Seattle Thunderbirds (WHL),,,,,,,,,,,,,,hanzeje01
188,Boston Bruins,Ryan Walsh,US,C,20,,Cedar Rapids (USHL),,,,,,,,,,,,,,walshry01
189,Dallas Stars,Angus Macdonell,CA,C,18,,Mississauga Steelheads (OHL),,,,,,,,,,,,,,macdoan02
190,Carolina Hurricanes,Michael Emerson,US,RW,19,,Chicago (USHL),,,,,,,,,,,,,,emersmi01
191,Florida Panthers,Luke Coughlin,CA,D,18,,Rimouski Oceanic (QMJHL),,,,,,,,,,,,,,coughlu01
192,Vegas Golden Knights,Tuomas Uronen,FI,RW,18,,Hifk Jr. (Finland-Jr.),,,,,,,,,,,,,,uronetu01
193,Tampa Bay Lightning,Jack Harvey,US,C,20,,Chicago (USHL),,,,,,,,,,,,,,harveja01
194,Columbus Blue Jackets,Oiva Keskinen,FI,C,19,,Tappara Jr. (Finland-Jr.),,,,,,,,,,,,,,keskioi01
195,Chicago Blackhawks,Janne Peltonen,FI,D,18,,Karpat Jr. (Finland-Jr.),,,,,,,,,,,,,,peltoja01
196,San Jose Sharks,David Klee,US,C,18,,Waterloo (USHL),,,,,,,,,,,,,,kleeda01
197,Montreal Canadiens,Luke Mittelstadt,US,D,20,,Minnesota-Duluth (Big Ten),,,,,,,,,,,,,,mittelu01
