Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS,-9999
162,Detroit Red Wings,Johan Adams,US,RW,20,,Fargo Force (USHL),,,,,,,,,,,,,,adamsjo04
163,Dallas Stars,Brett Davis,CA,RW,18,,Kootenay Ice (WHL),,,,,,,,,,,,,,davisbr01
164,Detroit Red Wings,Reilly Webb,CA,D,18,,Hamilton Bulldogs (OHL),,,,,,,,,,,,,,webbre01
165,New York Islanders,Arnaud Durandeau,CA,LW,18,2023,Halifax Mooseheads (QMJHL),4,0,0,0,1,2,,,,,,,0.0,duranar01
166,Carolina Hurricanes,Brendan De Jong,CA,D,19,,Portland Winterhawks (WHL),,,,,,,,,,,,,,dejonbr01
167,Winnipeg Jets,Arvid Holm,SE,G,18,,Karlskrona HK Jr. (Sweden Jr.),,,,,,,,,,,,,,holmar01
168,Philadelphia Flyers,Olle Lycksell,SE,RW,18,2026,Linkoping HC Jr. (Sweden Jr.),52,2,11,13,-8,16,,,,,,,0.3,lycksol01
169,Tampa Bay Lightning,Nicklaus Perbix,US,D,19,2026,Elk River HS (High-MN),299,16,60,76,13,72,,,,,,,14.2,perbini01
170,Columbus Blue Jackets,Jonathan Davidsson,SE,RW,20,2020,Djurgardens IF (Sweden),6,0,1,1,0,0,,,,,,,0.0,davidjo03
171,Calgary Flames,D'Artagnan Joly,CA,RW,18,,Baie-Comeau Drakkar (QMJHL),,,,,,,,,,,,,,jolyda01
172,Toronto Maple Leafs,Ryan Mcgregor,CA,C,18,,Sarnia Sting (OHL),,,,,,,,,,,,,,mcgrery01
173,Boston Bruins,Cedric Pare,CA,C,18,,Saint John Sea Dogs (QMJHL),,,,,,,,,,,,,,parece01
174,New York Rangers,Morgan Barron,CA,C,18,2026,St. Andrew's College (High-ON),321,41,42,83,22,111,,,,,,,7.0,barromo01
175,St. Louis Blues,Trenton Bourque,CA,D,19,,Owen Sound Attack (OHL),,,,,,,,,,,,,,bourqtr01
176,Nashville Predators,Pavel Koltygin,RU,C,18,,Drummondville Voltigeurs (QMJHL),,,,,,,,,,,,,,koltypa01
