Player,Career Earnings (millions),Contract Type,Salary Cap Hit (millions),Signing GM
Morgan Barron,5.78,STD,1.850,Kevin Cheveldayoff
Blake Lizotte,9.69,STD,1.850,Kyle Dubas
Sean Kuraly,17.43,STD,1.850,Don Sweeney
Brandon Duhaime,6.29,STD,1.850,Brian MacLellan
Pavel Dorofeyev,4.87,STD,1.835,Kelly McCrimmon
Jonatan Berggren,3.53,STD,1.825,Steve Yzerman
Nicholas Robertson,4.52,STD,1.825,Brad Treliving
Justin Danforth,5.59,STD,1.800,Kevyn Adams
Kent Johnson,5.21,STD,1.800,Don Waddell
Teddy Blueger,13.03,STD,1.800,Patrik Allvin
Carl Grundström,9.00,STD,1.800,Mike Grier
Nicolas Deslauriers,15.54,STD,1.750,Chuck Fletcher
Nick Bjugstad,35.04,STD,1.750,Doug Armstrong
Tony DeAngelo,28.34,STD,1.750,Mathieu Darche
Joel Hanley,7.86,STD,1.750,Craig Conroy
Jake Bean,11.11,STD,1.750,Craig Conroy
Jack Drury,4.77,STD,1.725,Eric Tulsky
Alexei Toropchenko,5.18,STD,1.700,Doug Armstrong
Wyatt Kaiser,2.92,STD,1.700,Kyle Davidson
Eric Robinson,9.73,STD,1.700,Eric Tulsky
Declan Chisholm,3.40,STD,1.600,Chris Patrick
Tyler Kleven,2.66,STD,1.600,Steve Staios
Victor Olofsson,19.05,STD,1.575,Chris MacFarland
Mark Kastelic,3.78,STD,1.567,Don Sweeney
Urho Vaakanainen,5.37,STD,1.550,Chris Drury
Pontus Holmberg,3.57,STD,1.550,Julien BriseBois
Jesper Boqvist,5.66,STD,1.500,Bill Zito
Kiefer Sherwood,5.45,STD,1.500,Patrik Allvin
Justin Brazeau,2.51,STD,1.500,Kyle Dubas
Bobby Brink,3.83,STD,1.500,Daniel Briere
Jordan Spence,4.18,STD,1.500,Rob Blake
Colin Miller,26.00,STD,1.500,Kevin Cheveldayoff
Oskar Sundqvist,18.24,STD,1.500,Doug Armstrong
Jack Roslovic,18.81,STD,1.500,Stan Bowman
Taylor Raddysh,4.78,STD,1.500,Chris Drury
Owen Michaels,0.11,ELC,1.484,Stan Bowman
Peyton Krebs,5.23,STD,1.450,Kevyn Adams
Mattias Janmark,16.46,STD,1.450,Jeff Jackson
Michael Eyssimont,3.69,STD,1.450,Don Sweeney
Jayden Struble,3.13,STD,1.413,Kent Hughes
Michael Kesselring,3.63,STD,1.400,Bill Armstrong
Sam Malinski,2.49,STD,1.400,Chris MacFarland
Simon Benoit,5.11,STD,1.350,Brad Treliving
Bobby McMann,3.49,STD,1.350,Brad Treliving
Ryan Reaves,23.17,STD,1.350,Brad Treliving
Steven Lorentz,6.17,STD,1.350,Brad Treliving
Beck Malenstyn,3.91,STD,1.350,Kevyn Adams
Kasperi Kapanen,20.91,STD,1.300,Stan Bowman
Ty Dellandrea,4.82,STD,1.300,Mike Grier
Isac Lundestrom,8.49,STD,1.300,Don Waddell
Ty Emberson,3.02,STD,1.300,Stan Bowman
